Categoría: Todas las categorías

País,hughesnet: (18/6/23 - 18/6/24)
Corea del Norte,
Puerto Rico,100
Estados Unidos,35
Colombia,32
Venezuela,23
Brasil,23
Perú,23
Chile,20
México,19
Ecuador,9
Nicaragua,
Corea del Sur,5
Pakistán,5
Filipinas,1
Rusia,1
Canadá,1
Argentina,1
Vietnam,1
Sudáfrica,
Taiwán,<1
Malasia,
Reino Unido,<1
India,<1
Australia,
España,
El Salvador,
República Dominicana,
Alemania,
Francia,
Indonesia,
Líbano,
Zimbabue,
Bermudas,
Barbados,
Brunéi,
Bután,
Isla Bouvet,
Botsuana,
República Centroafricana,
Belice,
Islas Cocos,
Suiza,
Bielorrusia,
China,
Côte d’Ivoire,
Camerún,
República Democrática del Congo,
Congo,
Islas Cook,
San Bartolomé,
Comoras,
Cabo Verde,
Costa Rica,
Cuba,
Curazao,
Isla de Navidad,
Islas Caimán,
Chipre,
Chequia,
Bosnia y Herzegovina,
Yibuti,
Dominica,
Dinamarca,
Bahamas,
Argelia,
Baréin,
Egipto,
Eritrea,
Sáhara Occidental,
Bulgaria,
Estonia,
Etiopía,
Finlandia,
Fiyi,
Islas Malvinas (Islas Falkland),
Bangladés,
Islas Feroe,
Micronesia,
Gabón,
Burkina Faso,
Georgia,
Guernesey,
Ghana,
Gibraltar,
Guinea,
Guadalupe,
Gambia,
Guinea-Bisáu,
Guinea Ecuatorial,
Grecia,
Granada,
Groenlandia,
Guatemala,
Guayana Francesa,
Guam,
Guyana,
Hong Kong,
Islas Heard y McDonald,
Honduras,
Croacia,
Haití,
Hungría,
Caribe neerlandés,
Isla de Man,
Benín,
Territorio Británico del Océano Índico,
Irlanda,
Irán,
Irak,
Islandia,
Israel,
Italia,
Jamaica,
Jersey,
Jordania,
Japón,
Kazajistán,
Kenia,
Kirguistán,
Camboya,
Kiribati,
San Cristóbal y Nieves,
Bélgica,
Kuwait,
Laos,
Aruba,
Angola,
Libia,
Santa Lucía,
Liechtenstein,
Sri Lanka,
Lesoto,
Lituania,
Luxemburgo,
Letonia,
Macao,
San Martín,
Marruecos,
Mónaco,
Moldavia,
Bolivia,
Maldivas,
Burundi,
Islas Marshall,
Macedonia del Norte,
Mali,
Malta,
Myanmar (Birmania),
Montenegro,
Mongolia,
Islas Marianas del Norte,
Mozambique,
Mauritania,
Montserrat,
Martinica,
Mauricio,
Malaui,
Azerbaiyán,
Mayotte,
Namibia,
Nueva Caledonia,
Níger,
Isla Norfolk,
Nigeria,
Austria,
Niue,
Países Bajos,
Noruega,
Nepal,
Nauru,
Nueva Zelanda,
Omán,
Antigua y Barbuda,
Panamá,
Islas Pitcairn,
Territorios Australes Franceses,
Antártida,
Palaos,
Papúa Nueva Guinea,
Polonia,
Samoa Americana,
Armenia,
Portugal,
Paraguay,
Palestina,
Polinesia Francesa,
Catar,
Reunión,
Rumanía,
Emiratos Árabes Unidos,
Ruanda,
Arabia Saudí,
Sudán,
Senegal,
Singapur,
Islas Georgia del Sur y Sandwich del Sur,
Santa Elena,
Svalbard y Jan Mayen,
Islas Salomón,
Sierra Leona,
Andorra,
San Marino,
Somalia,
San Pedro y Miquelón,
Serbia,
Sudán del Sur,
Santo Tomé y Príncipe,
Surinam,
Eslovaquia,
Eslovenia,
Suecia,
Esuatini,
Sint Maarten,
Seychelles,
Siria,
Islas Turcas y Caicos,
Chad,
Togo,
Tailandia,
Tayikistán,
Tokelau,
Turkmenistán,
Timor-Leste,
Tonga,
Trinidad y Tobago,
Túnez,
Turquía,
Tuvalu,
Albania,
Tanzania,
Uganda,
Ucrania,
Islas menores alejadas de EE. UU.,
Uruguay,
Islas Aland,
Uzbekistán,
Ciudad del Vaticano,
San Vicente y las Granadinas,
Anguila,
Islas Vírgenes Británicas,
Islas Vírgenes de EE. UU.,
Afganistán,
Vanuatu,
Wallis y Futuna,
Samoa,
Kosovo,
Yemen,
Liberia,
Zambia,
Madagascar,
