Categoría: Todas las categorías

País,hughesnet: (18/6/23 - 18/6/24),startlink: (18/6/23 - 18/6/24)
Puerto Rico,100 %,
Estados Unidos,98 %,2 %
Colombia,97 %,3 %
Venezuela,100 %,< 1 %
Brasil,97 %,3 %
Perú,100 %,< 1 %
Chile,92 %,8 %
México,96 %,4 %
Ecuador,,
Corea del Sur,100 %,
Pakistán,100 %,
Filipinas,54 %,46 %
Marruecos,,
Rusia,100 %,
Taiwán,69 %,31 %
Canadá,41 %,59 %
Vietnam,,
Sudáfrica,,
Argentina,45 %,55 %
Suecia,,
Malasia,,
Egipto,,
Reino Unido,43 %,57 %
India,81 %,19 %
Australia,,
España,,
República Dominicana,,
Japón,,
Indonesia,,
Líbano,,
Zimbabue,,
Bolivia,,
Belice,,
Barbados,,
Brunéi,,
Bután,,
Isla Bouvet,,
Botsuana,,
República Centroafricana,,
Bielorrusia,,
Islas Cocos,,
Suiza,,
San Bartolomé,,
China,,
Côte d’Ivoire,,
Camerún,,
República Democrática del Congo,,
Congo,,
Islas Cook,,
Bosnia y Herzegovina,,
Comoras,,
Cabo Verde,,
Costa Rica,,
Cuba,,
Curazao,,
Isla de Navidad,,
Islas Caimán,,
Chipre,,
Chequia,,
Alemania,,
Yibuti,,
Dominica,,
Dinamarca,,
Bahamas,,
Argelia,,
Baréin,,
Bulgaria,,
Eritrea,,
Sáhara Occidental,,
Bangladés,,
Estonia,,
Etiopía,,
Finlandia,,
Fiyi,,
Islas Malvinas (Islas Falkland),,
Francia,,
Islas Feroe,,
Micronesia,,
Gabón,,
Burkina Faso,,
Georgia,,
Guernesey,,
Ghana,,
Gibraltar,,
Guinea,,
Guadalupe,,
Gambia,,
Guinea-Bisáu,,
Guinea Ecuatorial,,
Grecia,,
Granada,,
Groenlandia,,
Guatemala,,
Guayana Francesa,,
Guam,,
Guyana,,
Hong Kong,,
Islas Heard y McDonald,,
Honduras,,
Croacia,,
Haití,,
Hungría,,
Caribe neerlandés,,
Isla de Man,,
Benín,,
Territorio Británico del Océano Índico,,
Irlanda,,
Irán,,
Irak,,
Islandia,,
Israel,,
Italia,,
Jamaica,,
Jersey,,
Jordania,,
Bélgica,,
Kazajistán,,
Kenia,,
Kirguistán,,
Camboya,,
Kiribati,,
San Cristóbal y Nieves,,
Burundi,,
Kuwait,,
Laos,,
Aruba,,
Angola,,
Libia,,
Santa Lucía,,
Liechtenstein,,
Sri Lanka,,
Lesoto,,
Lituania,,
Luxemburgo,,
Letonia,,
Macao,,
San Martín,,
Azerbaiyán,,
Mónaco,,
Moldavia,,
Bermudas,,
Maldivas,,
Austria,,
Islas Marshall,,
Macedonia del Norte,,
Mali,,
Malta,,
Myanmar (Birmania),,
Montenegro,,
Mongolia,,
Islas Marianas del Norte,,
Mozambique,,
Mauritania,,
Montserrat,,
Martinica,,
Mauricio,,
Malaui,,
Antigua y Barbuda,,
Mayotte,,
Namibia,,
Nueva Caledonia,,
Níger,,
Isla Norfolk,,
Nigeria,,
Nicaragua,,
Niue,,
Países Bajos,,
Noruega,,
Nepal,,
Nauru,,
Nueva Zelanda,,
Omán,,
Territorios Australes Franceses,,
Panamá,,
Islas Pitcairn,,
Antártida,,
Samoa Americana,,
Palaos,,
Papúa Nueva Guinea,,
Polonia,,
Armenia,,
Corea del Norte,,
Portugal,,
Paraguay,,
Palestina,,
Polinesia Francesa,,
Catar,,
Reunión,,
Rumanía,,
Emiratos Árabes Unidos,,
Ruanda,,
Arabia Saudí,,
Sudán,,
Senegal,,
Singapur,,
Islas Georgia del Sur y Sandwich del Sur,,
Santa Elena,,
Svalbard y Jan Mayen,,
Islas Salomón,,
Sierra Leona,,
El Salvador,,
San Marino,,
Somalia,,
San Pedro y Miquelón,,
Serbia,,
Sudán del Sur,,
Santo Tomé y Príncipe,,
Surinam,,
Eslovaquia,,
Eslovenia,,
Andorra,,
Esuatini,,
Sint Maarten,,
Seychelles,,
Siria,,
Islas Turcas y Caicos,,
Chad,,
Togo,,
Tailandia,,
Tayikistán,,
Tokelau,,
Turkmenistán,,
Timor-Leste,,
Tonga,,
Trinidad y Tobago,,
Túnez,,
Turquía,,
Tuvalu,,
Albania,,
Tanzania,,
Uganda,,
Ucrania,,
Islas menores alejadas de EE. UU.,,
Uruguay,,
Islas Aland,,
Uzbekistán,,
Ciudad del Vaticano,,
San Vicente y las Granadinas,,
Anguila,,
Islas Vírgenes Británicas,,
Islas Vírgenes de EE. UU.,,
Afganistán,,
Vanuatu,,
Wallis y Futuna,,
Samoa,,
Kosovo,,
Yemen,,
Liberia,,
Zambia,,
Madagascar,,
