Categoría: Todas las categorías

Semana,hughesnet: (Todo el mundo),startlink: (Todo el mundo)
2023-06-18,81,4
2023-06-25,81,4
2023-07-02,84,4
2023-07-09,82,5
2023-07-16,76,4
2023-07-23,91,6
2023-07-30,87,6
2023-08-06,80,4
2023-08-13,86,5
2023-08-20,77,6
2023-08-27,79,5
2023-09-03,71,7
2023-09-10,74,5
2023-09-17,69,5
2023-09-24,74,5
2023-10-01,70,6
2023-10-08,65,5
2023-10-15,69,4
2023-10-22,68,6
2023-10-29,66,6
2023-11-05,66,4
2023-11-12,68,6
2023-11-19,61,4
2023-11-26,72,4
2023-12-03,62,5
2023-12-10,67,5
2023-12-17,80,7
2023-12-24,94,4
2023-12-31,100,4
2024-01-07,91,6
2024-01-14,90,5
2024-01-21,89,6
2024-01-28,78,6
2024-02-04,71,6
2024-02-11,72,5
2024-02-18,63,5
2024-02-25,68,6
2024-03-03,71,5
2024-03-10,63,7
2024-03-17,66,5
2024-03-24,64,5
2024-03-31,61,9
2024-04-07,63,6
2024-04-14,55,7
2024-04-21,56,7
2024-04-28,54,5
2024-05-05,54,6
2024-05-12,53,7
2024-05-19,58,9
2024-05-26,59,9
2024-06-02,67,8
2024-06-09,62,7
2024-06-16,53,6
